,nTrends,nFunds,liq,sigma_P,sigma_V,maShortMin,maLongMin,bcTicksMin,entryThMin,exitThdMin,valueOffset,startSeed
0,0.509,0.605,0.191,0.079,0.547,0.745,0.191,0.483,0.155,0.201,0.163,0.543
1,0.783,0.987,0.879,0.125,0.871,0.181,0.765,0.299,0.591,0.711,0.195,0.785
2,0.399,0.085,0.505,0.093,0.777,0.020999999999999998,0.771,0.039,0.343,0.199,0.271,0.335
3,0.161,0.853,0.655,0.583,0.621,0.759,0.731,0.329,0.097,0.839,0.8190000000000001,0.665
4,0.363,0.8150000000000001,0.493,0.491,0.281,0.47300000000000003,0.991,0.443,0.443,0.299,0.505,0.587
5,0.041,0.213,0.993,0.149,0.113,0.727,0.587,0.461,0.625,0.579,0.425,0.621
6,0.933,0.963,0.091,0.921,0.009000000000000001,0.217,0.461,0.785,0.379,0.513,0.155,0.387
7,0.017,0.919,0.167,0.123,0.997,0.741,0.857,0.5650000000000001,0.877,0.799,0.651,0.993
8,0.457,0.035,0.619,0.341,0.981,0.231,0.261,0.917,0.801,0.215,0.977,0.333
9,0.889,0.229,0.163,0.8190000000000001,0.467,0.907,0.439,0.931,0.249,0.683,0.339,0.8190000000000001
10,0.483,0.629,0.109,0.607,0.881,0.641,0.115,0.637,0.183,0.773,0.8230000000000001,0.871
11,0.175,0.379,0.915,0.9410000000000001,0.011,0.055,0.883,0.8310000000000001,0.655,0.589,0.705,0.063
12,0.989,0.8310000000000001,0.9530000000000001,0.315,0.607,0.657,0.271,0.315,0.715,0.517,0.119,0.5670000000000001
13,0.875,0.231,0.135,0.047,0.201,0.889,0.135,0.225,0.485,0.8210000000000001,0.613,0.5630000000000001
14,0.183,0.065,0.893,0.305,0.043,0.125,0.881,0.8250000000000001,0.019000000000000003,0.343,0.553,0.467
15,0.397,0.5730000000000001,0.149,0.889,0.40900000000000003,0.6950000000000001,0.185,0.091,0.969,0.967,0.513,0.363
16,0.015,0.159,0.123,0.293,0.069,0.41500000000000004,0.40700000000000003,0.777,0.549,0.34700000000000003,0.151,0.663
17,0.331,0.117,0.015,0.627,0.745,0.685,0.201,0.355,0.971,0.6990000000000001,0.099,0.055
18,0.517,0.255,0.28500000000000003,0.195,0.8150000000000001,0.233,0.539,0.187,0.681,0.907,0.917,0.803
19,0.075,0.23700000000000002,0.847,0.151,0.363,0.015,0.555,0.323,0.125,0.171,0.793,0.659
20,0.647,0.745,0.513,0.895,0.595,0.019000000000000003,0.867,0.869,0.045,0.733,0.891,0.591
21,0.027000000000000003,0.361,0.657,0.259,0.555,0.437,0.665,0.915,0.5670000000000001,0.061,0.975,0.121
22,0.8230000000000001,0.425,0.887,0.28900000000000003,0.497,0.067,0.931,0.5630000000000001,0.453,0.365,0.797,0.717
23,0.001,0.559,0.9510000000000001,0.169,0.705,0.20500000000000002,0.47100000000000003,0.655,0.23700000000000002,0.099,0.039,0.245
24,0.857,0.671,0.733,0.527,0.197,0.169,0.781,0.307,0.767,0.037000000000000005,0.597,0.933
25,0.221,0.985,0.857,0.499,0.8130000000000001,0.711,0.6970000000000001,0.165,0.433,0.677,0.933,0.23500000000000001
26,0.809,0.615,0.665,0.157,0.781,0.991,0.793,0.9450000000000001,0.463,0.509,0.343,0.837
27,0.461,0.6910000000000001,0.791,0.509,0.267,0.335,0.739,0.293,0.213,0.963,0.341,0.9570000000000001
28,0.47700000000000004,0.591,0.229,0.553,0.929,0.307,0.753,0.459,0.8230000000000001,0.373,0.737,0.045
29,0.5670000000000001,0.875,0.241,0.993,0.047,0.747,0.295,0.327,0.405,0.385,0.187,0.859
30,0.47500000000000003,0.441,0.673,0.933,0.935,0.839,0.17300000000000001,0.089,0.867,0.039,0.643,0.541
31,0.873,0.227,0.275,0.653,0.195,0.8270000000000001,0.449,0.9390000000000001,0.031,0.089,0.057,0.923
32,0.871,0.973,0.929,0.303,0.273,0.627,0.627,0.169,0.003,0.147,0.233,0.787
33,0.5710000000000001,0.803,0.891,0.905,0.601,0.877,0.483,0.593,0.643,0.669,0.779,0.795
34,0.987,0.543,0.463,0.9590000000000001,0.723,0.845,0.735,0.913,0.371,0.6890000000000001,0.879,0.667
35,0.879,0.057,0.971,0.001,0.373,0.28300000000000003,0.787,0.020999999999999998,0.421,0.739,0.251,0.079
36,0.725,0.775,0.883,0.6990000000000001,0.655,0.383,0.527,0.47100000000000003,0.299,0.113,0.281,0.9530000000000001
37,0.14300000000000002,0.627,0.885,0.431,0.759,0.157,0.151,0.907,0.429,0.023,0.557,0.10300000000000001
38,0.197,0.793,0.641,0.791,0.707,0.857,0.049,0.111,0.997,0.277,0.785,0.901
39,0.233,0.127,0.299,0.481,0.513,0.659,0.729,0.543,0.861,0.855,0.707,0.139
40,0.127,0.995,0.8310000000000001,0.167,0.449,0.511,0.223,0.233,0.441,0.625,0.047,0.199
41,0.781,0.069,0.009000000000000001,0.617,0.579,0.787,0.097,0.609,0.505,0.715,0.421,0.883
42,0.9410000000000001,0.047,0.611,0.059,0.587,0.41300000000000003,0.395,0.331,0.059,0.797,0.263,0.203
43,0.243,0.597,0.327,0.447,0.991,0.445,0.681,0.607,0.309,0.525,0.997,0.8210000000000001
44,0.063,0.5710000000000001,0.685,0.543,0.161,0.8310000000000001,0.499,0.7010000000000001,0.187,0.895,0.149,0.219
45,0.353,0.467,0.609,0.735,0.5630000000000001,0.449,0.343,0.503,0.639,0.713,0.615,0.915
46,0.515,0.47700000000000004,0.667,0.9490000000000001,0.857,0.927,0.40900000000000003,0.007,0.193,0.537,0.623,0.221
47,0.467,0.093,0.6950000000000001,0.453,0.671,0.717,0.937,0.447,0.911,0.675,0.167,0.351
48,0.013000000000000001,0.001,0.34700000000000003,0.41700000000000004,0.10500000000000001,0.735,0.909,0.747,0.9570000000000001,0.561,0.9570000000000001,0.249
49,0.557,0.067,0.387,0.057,0.07100000000000001,0.113,0.611,0.973,0.787,0.883,0.537,0.47100000000000003
50,0.539,0.457,0.34900000000000003,0.619,0.10300000000000001,0.14500000000000002,0.193,0.485,0.547,0.313,0.679,0.233
51,0.393,0.755,0.391,0.5730000000000001,0.683,0.279,0.017,0.745,0.897,0.919,0.577,0.453
52,0.277,0.215,0.687,0.489,0.431,0.8170000000000001,0.505,0.731,0.7010000000000001,0.355,0.17300000000000001,0.683
53,0.309,0.835,0.41500000000000004,0.299,0.339,0.085,0.34500000000000003,0.183,0.927,0.775,0.005,0.201
54,0.797,0.189,0.769,0.385,0.539,0.069,0.063,0.875,0.261,0.135,0.095,0.519
55,0.861,0.431,0.595,0.535,0.319,0.389,0.277,0.457,0.373,0.361,0.363,0.561
56,0.267,0.8130000000000001,0.549,0.271,0.405,0.611,0.5730000000000001,0.003,0.779,0.133,0.47300000000000003,0.601
57,0.975,0.8230000000000001,0.849,0.9390000000000001,0.917,0.175,0.723,0.525,0.913,0.017,0.919,0.223
58,0.449,0.507,0.325,0.663,0.665,0.853,0.311,0.579,0.007,0.723,0.619,0.437
59,0.031,0.669,0.265,0.591,0.257,0.451,0.020999999999999998,0.185,0.067,0.233,0.611,0.049
60,0.20900000000000002,0.929,0.367,0.929,0.6910000000000001,0.723,0.187,0.215,0.271,0.047,0.8250000000000001,0.175
61,0.47300000000000003,0.499,0.307,0.991,0.783,0.497,0.655,0.153,0.369,0.025,0.081,0.367
62,0.877,0.217,0.397,0.445,0.451,0.509,0.541,0.679,0.8290000000000001,0.729,0.303,0.34900000000000003
63,0.8310000000000001,0.9410000000000001,0.461,0.679,0.531,0.201,0.5670000000000001,0.455,0.993,0.747,0.931,0.711
64,0.965,0.41300000000000003,0.159,0.015,0.453,0.859,0.10500000000000001,0.245,0.653,0.087,0.067,0.061
65,0.795,0.805,0.201,0.061,0.093,0.40900000000000003,0.455,0.351,0.541,0.603,0.091,0.187
66,0.039,0.643,0.937,0.211,0.225,0.371,0.47300000000000003,0.435,0.297,0.765,0.331,0.189
67,0.133,0.681,0.591,0.41100000000000003,0.879,0.255,0.533,0.481,0.201,0.435,0.967,0.28900000000000003
68,0.293,0.123,0.225,0.973,0.637,0.223,0.265,0.087,0.253,0.707,0.077,0.651
69,0.545,0.375,0.835,0.585,0.529,0.811,0.419,0.9570000000000001,0.763,0.519,0.46900000000000003,0.087
70,0.775,0.931,0.47500000000000003,0.28500000000000003,0.875,0.577,0.929,0.14500000000000002,0.899,0.291,0.219,0.499
71,0.223,0.6970000000000001,0.211,0.785,0.245,0.875,0.147,0.163,0.077,0.419,0.749,0.355
72,0.163,0.491,0.181,0.9530000000000001,0.361,0.385,0.077,0.249,0.5650000000000001,0.359,0.319,0.353
73,0.687,0.999,0.593,0.837,0.581,0.435,0.377,0.911,0.257,0.9470000000000001,0.625,0.675
74,0.07300000000000001,0.683,0.043,0.729,0.017,0.315,0.8250000000000001,0.841,0.8170000000000001,0.065,0.851,0.267
75,0.727,0.905,0.531,0.875,0.028999999999999998,0.8190000000000001,0.23500000000000001,0.937,0.179,0.081,0.605,0.8230000000000001
76,0.537,0.135,0.765,0.013000000000000001,0.797,0.28900000000000003,0.6890000000000001,0.995,0.789,0.457,0.253,0.069
77,0.107,0.8290000000000001,0.801,0.593,0.177,0.655,0.497,0.9410000000000001,0.871,0.189,0.893,0.127
78,0.595,0.801,0.291,0.843,0.495,0.935,0.14100000000000001,0.729,0.47700000000000004,0.227,0.465,0.041
79,0.019000000000000003,0.845,0.319,0.915,0.147,0.313,0.133,0.049,0.875,0.393,0.5630000000000001,0.661
80,0.095,0.055,0.713,0.685,0.485,0.387,0.6930000000000001,0.037000000000000005,0.46900000000000003,0.497,0.531,0.629
81,0.087,0.091,0.483,0.6910000000000001,0.153,0.089,0.685,0.063,0.457,0.619,0.40700000000000003,0.931
82,0.741,0.101,0.41700000000000004,0.725,0.8230000000000001,0.8130000000000001,0.437,0.761,0.487,0.761,0.899,0.423
