,nTrends,nFunds,liq,sigma_V,maShortMin,maLongMin,bcTicksMin,entryThMin,exitThdMin,valueOffset
0,0.7495,0.7785,0.014499999999999999,0.9964999999999999,0.8485,0.1575,0.8825000000000001,0.3805,0.7525,0.5315000000000001
1,0.5974999999999999,0.2905,0.35150000000000003,0.5974999999999999,0.14350000000000002,0.7515000000000001,0.4865,0.0385,0.8614999999999999,0.8614999999999999
2,0.4375,0.7575000000000001,0.3995,0.7845,0.0155,0.7195,0.9624999999999999,0.8165,0.5525,0.9835
3,0.7135,0.4325,0.9435,0.7204999999999999,0.7865,0.7335,0.8345,0.4635,0.5845,0.4025
4,0.9565000000000001,0.5285,0.9295,0.6265000000000001,0.41050000000000003,0.4185,0.3015,0.7295,0.9735,0.41250000000000003
5,0.0655,0.1145,0.7875000000000001,0.3055,0.8425,0.8474999999999999,0.4575,0.3775,0.4295,0.5205
6,0.0085,0.6745000000000001,0.6165,0.5365,0.5755000000000001,0.9635,0.7215,0.5625,0.3245,0.9744999999999999
7,0.2935,0.3235,0.1625,0.0755,0.1385,0.3785,0.5315000000000001,0.0155,0.9915,0.0175
8,0.7805,0.1315,0.2765,0.9844999999999999,0.4925,0.3395,0.6154999999999999,0.5765,0.3715,0.5165
9,0.8825000000000001,0.2425,0.4655,0.1835,0.1895,0.5774999999999999,0.23550000000000001,0.5575000000000001,0.3755,0.8975
10,0.3835,0.41450000000000004,0.3925,0.7324999999999999,0.1755,0.1985,0.9775,0.3275,0.7915000000000001,0.2955
11,0.9575,0.8255000000000001,0.7355,0.7525,0.7025000000000001,0.9575,0.3985,0.6174999999999999,0.3295,0.7164999999999999
12,0.17350000000000002,0.9515,0.7855000000000001,0.6074999999999999,0.4265,0.9355,0.6855,0.5025,0.5175000000000001,0.7035
13,0.6154999999999999,0.8485,0.7585,0.8345,0.2465,0.3025,0.6785000000000001,0.9824999999999999,0.2585,0.2135
14,0.8005,0.47850000000000004,0.5545,0.4955,0.2795,0.1135,0.7044999999999999,0.40750000000000003,0.3345,0.5195000000000001
15,0.8665,0.2445,0.5845,0.6515,0.3975,0.7235,0.0895,0.5934999999999999,0.0655,0.3315
16,0.1965,0.025500000000000002,0.7035,0.1855,0.0375,0.8734999999999999,0.4165,0.1525,0.3945,0.5335000000000001
17,0.5505,0.2475,0.6815,0.3335,0.0115,0.3125,0.07250000000000001,0.6315,0.5425,0.2745
18,0.6935,0.4585,0.3655,0.47150000000000003,0.8065,0.41450000000000004,0.8285,0.47350000000000003,0.5705,0.9604999999999999
19,0.6795,0.8534999999999999,0.7505,0.4825,0.28650000000000003,0.17250000000000001,0.9285000000000001,0.4015,0.4045,0.4415
20,0.8845000000000001,0.1685,0.8915,0.1465,0.0385,0.6985000000000001,0.2455,0.8414999999999999,0.9395,0.7135
21,0.6705000000000001,0.6405000000000001,0.28350000000000003,0.2235,0.2745,0.8625,0.1945,0.0895,0.6575,0.026500000000000003
22,0.3365,0.4245,0.7715000000000001,0.2725,0.41250000000000003,0.035500000000000004,0.2515,0.7304999999999999,0.6485000000000001,0.4805
23,0.5894999999999999,0.036500000000000005,0.2255,0.7665,0.6765000000000001,0.9535,0.0645,0.2755,0.3395,0.9485000000000001
24,0.2705,0.9804999999999999,0.7475,0.2895,0.6685000000000001,0.1275,0.2575,0.6935,0.6054999999999999,0.14450000000000002
25,0.5415000000000001,0.0845,0.8494999999999999,0.6785000000000001,0.8165,0.8525,0.5365,0.4955,0.6815,0.1465
26,0.40650000000000003,0.8825000000000001,0.40750000000000003,0.1455,0.1655,0.8795,0.6375,0.3335,0.4545,0.5905
