,nTrends,nFunds,liq,sigma_P,sigma_V,maShortMin,maLongMin,bcTicksMin,entryThMin,exitThdMin,valueOffset
0,0.8955,0.1985,0.1615,0.0765,0.5075000000000001,0.9135,0.6345000000000001,0.3055,0.8135000000000001,0.6815,0.2125
1,0.9295,0.3585,0.4525,0.5075000000000001,0.6795,0.2745,0.051500000000000004,0.5155000000000001,0.0685,0.8865000000000001,0.23650000000000002
2,0.5325,0.6205,0.5405,0.2685,0.10450000000000001,0.8494999999999999,0.6575,0.1575,0.6655,0.23450000000000001,0.2615
3,0.1315,0.0765,0.1005,0.2315,0.4675,0.3545,0.1785,0.0335,0.5735000000000001,0.7115,0.4875
4,0.2325,0.1775,0.7655000000000001,0.9695,0.8155000000000001,0.1665,0.28550000000000003,0.7444999999999999,0.5874999999999999,0.17250000000000001,0.8065
5,0.6025,0.2275,0.3035,0.8235000000000001,0.6885000000000001,0.1865,0.4985,0.5665,0.1225,0.3385,0.2745
6,0.1885,0.8654999999999999,0.1755,0.1575,0.8714999999999999,0.1105,0.1235,0.7645,0.7244999999999999,0.2975,0.7484999999999999
7,0.9175,0.8485,0.4985,0.3545,0.8645,0.6735,0.1515,0.9395,0.3015,0.8235000000000001,0.28350000000000003
8,0.9055,0.9904999999999999,0.28450000000000003,0.1685,0.5005,0.5645,0.6415,0.7525,0.2525,0.5834999999999999,0.7525
9,0.3745,0.0045000000000000005,0.8995,0.7815000000000001,0.6025,0.41350000000000003,0.0495,0.8915,0.8845000000000001,0.47050000000000003,0.9515
10,0.6625000000000001,0.4005,0.7235,0.23450000000000001,0.6985000000000001,0.5805,0.035500000000000004,0.8454999999999999,0.1395,0.6555,0.2415
11,0.34650000000000003,0.0955,0.9445000000000001,0.3735,0.7675000000000001,0.8445,0.1345,0.8895,0.7324999999999999,0.5814999999999999,0.2765
12,0.7035,0.2435,0.2755,0.2155,0.1285,0.7555000000000001,0.3395,0.7815000000000001,0.5075000000000001,0.1145,0.9955
13,0.009500000000000001,0.6595,0.17350000000000002,0.009500000000000001,0.8405,0.7995000000000001,0.4425,0.5755000000000001,0.9105000000000001,0.3095,0.0995
14,0.7595000000000001,0.4565,0.7095,0.6905000000000001,0.0595,0.3315,0.7985,0.9795,0.5405,0.6005,0.0625
15,0.6975,0.2285,0.3935,0.1335,0.0405,0.6355,0.1655,0.9844999999999999,0.1525,0.0695,0.8175000000000001
16,0.4245,0.2655,0.7364999999999999,0.7555000000000001,0.41450000000000004,0.3175,0.0905,0.3315,0.4685,0.009500000000000001,0.2975
17,0.7855000000000001,0.6885000000000001,0.6325000000000001,0.013500000000000002,0.1555,0.8985000000000001,0.5445,0.1385,0.3545,0.9835,0.4805
