"tick","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series"
"0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0.0","0.0","0.0","0.0","0.0","0.0"
"2","0.0","0.0","0.0","0.0","0.0","0.0"
"3","0.0","0.0","0.0","0.0","0.0","0.0"
"4","0.0","0.0","0.0","0.0","0.0","0.0"
"5","0.0","0.0","0.0","0.0","0.0","0.0"
"6","0.0","0.0","0.0","0.0","0.0","0.0"
"7","0.0","0.0","0.0","0.0","0.0","0.0"
"8","0.0","0.0","0.0","0.0","0.0","0.0"
"9","0.0","0.0","0.0","0.0","0.0","0.0"
"10","0.0","0.0","0.0","0.0","0.0","0.0"
"11","0.0","0.0","0.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","0.0","0.0","0.0"
"13","0.0","0.0","0.0","0.0","0.0","0.0"
"14","0.0","0.0","0.0","0.0","0.0","0.0"
"15","0.0","0.0","0.0","0.0","0.0","0.0"
"16","0.0","0.0","0.0","0.0","0.0","0.0"
"17","0.0","0.0","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","0.0","0.0","0.0"
"19","0.0","0.0","0.0","0.0","0.0","0.0"
"20","0.0","0.0","0.0","0.0","0.0","0.0"
"21","0.0","0.0","0.0","0.0","0.0","0.0"
"22","0.0","0.0","0.0","0.0","0.0","0.0"
"23","0.0","0.0","0.0","0.0","0.0","0.0"
"24","0.0","0.0","0.0","0.0","0.0","0.0"
"25","0.0","0.0","0.0","0.0","0.0","0.0"
"26","0.0","0.0","0.0","0.0","0.0","0.0"
"27","0.0","0.0","0.0","0.0","0.0","0.0"
"28","0.0","0.0","0.0","0.0","0.0","0.0"
"29","0.0","0.0","0.0","0.0","0.0","0.0"
"30","0.0","0.0","0.0","0.0","0.0","0.0"
"31","0.0","0.0","0.0","0.0","0.0","0.0"
"32","0.0","0.0","0.0","0.0","0.0","0.0"
"33","0.0","0.0","0.0","0.0","0.0","0.0"
"34","0.0","0.0","0.0","0.0","0.0","0.0"
"35","0.0","0.0","0.0","0.0","0.0","0.0"
"36","0.0","0.0","0.0","0.0","0.0","0.0"
"37","0.0","0.0","0.0","0.0","17.29190885525216","0.0"
"38","0.0","0.0","0.0","-18.37557319612532","29.814045647118682","0.0"
"39","0.0","0.0","0.0","2.34673920169071","3.327883707611398","-35.96648402864608"
"40","0.0","0.0","0.0","-5.1210490800282304","12.429761184500787","-8.672592460883306"
"41","0.0","0.0","0.0","-7.9414266498590464","-15.663157737291456","-12.199427774308194"
"42","0.0","0.0","0.0","22.20124701583392","-22.84356022780389","-10.943460792288908"
"43","0.0","0.0","0.0","-9.200026774384344","10.006902565948844","-6.246398792004078"
"44","0.0","0.0","0.0","-18.28802557593025","1.4953561723661628","-2.791786754271563"
"45","0.0","2.918167493364801","0.0","27.5456656721408","-28.993663502418954","-7.688849107711941"
"46","0.0","-0.565045602040076","0.0","-22.07089921778594","-83.54417554331332","-46.144892691599594"
"47","0.0","4.135871800286664","0.0","7.642044010580298","-21.47767586495513","64.03985549836182"
"48","0.0","-0.5952020981217157","0.0","26.19232450167528","-6.575222470316321","-71.65083919309005"
"49","0.0","10.661898008685096","-34.67611291627564","-21.91390705690312","-77.9223478707085","74.5519590098241"
"50","0.0","-0.8611675427336212","-125.04859550325241","-0.7148923625866881","-134.5317940393686","-14.187198977894475"
"51","0.0","-1.6619355817556705","-131.7149260752951","4.250096736955635","-112.89795242562619","-0.8984128408748111"
"52","0.0","8.530695549445767","-141.60854606160513","-3.9297787238739375","101.46923857908912","6.913226512063108"
"53","0.0","-6.306210316518463","-149.22806137366976","7.883825038427121","116.55901482379653","-58.92147614172224"
"54","0.0","1.5817552971924562","-70.17211572670979","-22.819544604186724","114.50695393299219","-169.98111297614435"
"55","0.0","13.98606211763961","-171.9611314015923","19.08941649200264","45.40128187667093","-121.14592157464136"
"56","-11.107268508787191","-8.501740204177048","-50.21814594912628","15.718353410349197","-31.440793587295456","-459.8184871301778"
"57","-48.30341863905084","3.406249429910864","-34.525282420906926","-2.681783494603979","-16.89268788989397","-414.9776780742482"
"58","-149.30344127027382","7.227237031231394","67.81318580852033","-12.23581904007996","-30.23498145192638","-154.51049976103198"
"59","-114.21739469182201","41.628233580203556","127.5976487003254","-3.7695579464919677","-56.10701267201852","-12.772562153658164"
"60","-289.99155785072014","-32.166945594094244","51.70241197457329","12.604775042051433","26.101480609082316","157.24703044677736"
"61","217.77863859293052","20.478892487413418","279.75210999099073","4.711373654166836","30.347985586750404","345.4154668241041"
"62","-148.60813340996253","-0.9413237757331576","145.28890963806472","-6.484376586189457","8.161789613901401","146.10361911513542"
"63","52.73828742871486","-10.581178983722818","13.569404236211923","-3.4262978309224077","6.076457653652859","215.1072294819739"
"64","-272.8167646125177","-2.937323178516262","-8.617040788311897","7.828485828690101","22.516842988198757","-3.440610992585789"
