"tick","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series"
"0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0.0","0.0","0.0","0.0","0.0","0.0"
"2","0.0","0.0","0.0","0.0","0.0","0.0"
"3","0.0","0.0","0.0","0.0","0.0","0.0"
"4","0.0","0.0","0.0","0.0","0.0","0.0"
"5","0.0","0.0","0.0","0.0","0.0","0.0"
"6","0.0","0.0","0.0","0.0","0.0","0.0"
"7","0.0","0.0","0.0","0.0","0.0","0.0"
"8","0.0","0.0","0.0","0.0","0.0","0.0"
"9","0.0","0.0","0.0","0.0","0.0","0.0"
"10","0.0","0.0","0.0","0.0","0.0","0.0"
"11","0.0","0.0","0.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","0.0","0.0","0.0"
"13","0.0","0.0","0.0","0.0","0.0","0.0"
"14","0.0","0.0","0.0","0.0","0.0","0.0"
"15","0.0","0.0","0.0","0.0","0.0","0.0"
"16","0.0","0.0","0.0","0.0","0.0","0.0"
"17","0.0","0.0","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","0.0","0.0","0.0"
"19","0.0","0.0","0.0","0.0","0.0","0.0"
"20","0.0","0.0","0.0","0.0","0.0","0.0"
"21","0.0","0.0","0.0","0.0","0.0","0.0"
"22","0.0","0.0","0.0","0.0","0.0","0.0"
"23","0.0","0.0","0.0","0.0","0.0","0.0"
"24","0.0","0.0","0.0","0.0","0.0","0.0"
"25","0.0","0.0","0.0","0.0","0.0","0.0"
"26","0.0","0.0","0.0","0.0","0.0","0.0"
"27","0.0","0.0","0.0","0.0","0.0","0.0"
"28","0.0","0.0","0.0","0.0","0.0","0.0"
"29","0.0","0.0","0.0","0.0","0.0","0.0"
"30","0.0","0.0","0.0","0.0","0.0","0.0"
"31","0.0","0.0","0.0","0.0","0.0","0.0"
"32","0.0","0.0","0.0","0.0","0.0","0.0"
"33","0.0","0.0","0.0","0.0","0.0","0.0"
"34","0.0","0.0","0.0","0.0","0.0","0.0"
"35","0.0","0.0","0.0","0.0","0.0","0.0"
"36","0.0","0.0","0.0","0.0","0.0","0.0"
"37","0.0","0.0","0.0","0.0","0.0","0.0"
"38","0.0","0.0","0.0","0.0","0.04588146680704781","0.0"
"39","0.0","0.0","0.0","-0.044807416034861165","0.015739203880384654","0.0"
"40","0.0","0.0","0.0","-0.0907155625519695","0.11566635890116139","-0.09650700708937357"
"41","0.0","0.0","0.0","-0.007105924152512716","0.10674890169165073","-0.08063216010748574"
"42","0.0","0.0","0.0","-0.09601906956855735","-0.024349881409589883","-0.13004713645567148"
"43","0.0","0.0","0.0","-0.09483985238671357","-0.16761211020180397","-0.21966012230053475"
"44","0.0","0.0","0.0","-0.17189113924402397","-0.17349517158650973","-0.3034214491978861"
"45","0.0","0.0","0.0","-0.12899611396397215","-0.1204078451416792","-0.28270338730196165"
"46","0.0","-0.0010398427038214603","0.0","-0.15210800397454066","-0.1288663238914668","-0.485926653057313"
"47","0.0","-0.004718271060656443","0.0","-0.07794473621404363","-0.2553146824961605","-0.032077582500438684"
"48","0.0","0.0038012496350193366","0.0","-0.022771313479066847","-0.3568635839587945","-0.23997041251629944"
"49","0.0","0.022112546338588744","0.0","-0.009229780120318776","-0.17928906228160188","0.37857235863519234"
"50","0.0","-0.004213092821078982","0.09180221189428506","-0.043906767041970614","0.6923111807604911","0.21239666659749473"
"51","0.0","-0.049356219931715","0.30056425682524235","-0.014981038535614949","1.5616037578450508","0.24956267218656703"
"52","0.0","-0.02682004004357692","0.3182300241319421","-0.002755011844948603","1.0390721882353737","0.35249997459632604"
"53","0.0","-0.03768038281369916","0.404736701913478","0.01334245654316275","0.2642239844469891","0.49398025589065264"
"54","0.0","-0.017177983556398838","0.3238902419639277","0.0217330680410762","-0.8437786402528912","0.8042217908387304"
"55","0.0","-0.06568177844515416","1.485311777040941","-0.08256100555572282","-0.7806920904217693","0.8318733960789827"
"56","0.0","-0.006806332955433432","2.472377965772504","-0.054740886469522326","-0.7864910810112806","2.7556662559488383"
"57","0.004048116426845719","-0.045239489572473576","3.7415639609487403","-0.05411793290725596","-0.8656115356879117","7.296969111894986"
"58","0.08071953501268504","-0.07697197673406203","3.7802394410756937","-0.05442441729291353","-0.8035650624452866","11.664055466898827"
"59","0.14782677013280768","-0.2678874670404919","3.2927493547371887","-0.036755790979046125","-0.9462146736356988","13.18635897778362"
"60","1.1288181037994165","-0.07491722987913735","3.6442537146843006","-0.07229773005119085","-0.7553914600667013","11.2200804669143"
"61","-1.1324088173302234","-0.33134648216582013","2.448557294668061","-0.06659175646127574","-0.22088732696526706","7.28336026473475"
"62","-0.4762526694547777","-0.28781216239492463","1.280339668215219","-0.06609496451523687","-0.30665440523703114","7.374615187371316"
"63","-0.4863835665201977","-0.21341695150233403","1.51108335977696","-0.0569618989728071","-0.3476647218115007","5.678846188039329"
